

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
394	86	95	105
395	103	18	9
396	82	101	91
397	39	48	59
398	73	92	82
399	91	100	110
400	81	90	100
401	83	103	93
402	90	109	99
403	91	99	110
404	6	15	25
405	33	52	42
406	69	78	89
407	75	84	94
408	99	107	9
409	40	59	49
410	15	24	35
411	6	24	15
412	19	38	28
413	9	28	18
414	96	5	107
415	75	84	95
416	33	52	42
417	25	44	34
418	27	36	46
419	66	75	85
420	7	16	26
421	53	73	63
422	34	53	43
423	71	80	90
424	101	16	7
425	53	62	72
426	42	61	51
427	35	43	54
428	99	8	110
429	78	97	87
430	23	42	32
431	15	24	35
432	105	20	11
433	14	34	24
434	38	47	58
435	21	29	40
436	47	56	66
437	35	44	54
438	86	95	105
439	13	22	33
440	11	30	21
441	42	51	62
442	13	22	32
443	62	81	71
444	96	5	107
445	69	77	88
446	70	89	79
447	55	74	64
448	25	34	45
449	92	101	111
450	99	9	110
451	25	34	44
452	38	49	62
453	81	102	90
454	56	75	65
455	71	92	81
456	72	91	81
457	10	19	29
458	56	75	65
459	66	87	75
460	82	101	91
461	51	60	71
462	80	100	90
463	78	97	87
464	16	35	26
465	55	64	74
466	23	42	32
467	83	91	102
468	28	47	37
469	37	58	46
470	89	108	98
471	42	51	61
472	100	5	15
473	7	16	27
474	55	64	74
475	5	14	24
476	93	102	113
477	74	94	84
478	28	47	37
479	79	88	99
480	54	74	64
481	69	78	88
482	28	37	47
483	7	16	26
484	67	86	76
485	39	48	63
486	14	33	23
487	92	101	112
488	60	69	79
489	12	21	32
490	58	67	77
491	64	83	73
492	101	16	6
493	17	36	26
494	102	6	15
495	72	81	92
496	96	105	7
497	23	32	43
498	100	5	15
499	32	51	41
500	53	62	73
501	21	30	40
502	44	53	63
503	26	35	46
504	62	71	81
505	98	107	8
506	11	20	31
507	6	27	15
508	35	54	44
509	20	39	29
510	20	29	39
511	78	97	87
512	79	98	88
513	97	6	107
514	25	34	45
515	34	43	54
516	15	23	34
517	59	68	78
518	104	10	19
519	29	38	48
520	17	26	36
521	21	30	41
522	77	86	96
523	85	104	94
524	58	77	67
525	77	96	86
526	45	54	64
527	11	20	31
528	95	104	5
529	29	38	49
530	43	62	52
531	22	41	31
532	22	41	31
533	102	8	17
534	94	103	113
535	46	55	65
536	12	21	31
537	7	26	16
538	99	108	9
539	28	48	38
540	97	106	7
541	11	20	30
542	94	115	103
543	17	37	27
544	54	63	74
545	100	16	6
546	85	94	104
547	12	21	31
548	12	33	21
549	94	102	113
550	65	84	74
551	37	56	46
552	18	27	37
553	106	11	20
554	35	44	54
555	29	38	48
556	57	66	77
557	27	46	36
558	14	23	34
559	92	111	101
560	41	50	60
561	75	96	85
562	62	81	71
563	22	31	42
564	23	42	32
565	59	78	68
566	17	26	36
567	87	96	106
568	53	62	72
569	47	69	56
570	52	71	61
571	82	101	91
572	11	30	20
573	91	110	100
574	46	55	65
575	87	96	107
576	85	93	104
577	24	32	43
578	91	110	100
579	83	103	93
580	94	103	113
581	45	65	55
582	43	62	52
583	33	52	42
584	89	98	109
585	25	34	44
586	104	19	10
587	7	16	26
588	22	41	31
589	58	77	67
590	62	71	81
591	74	83	94
592	33	42	52
593	10	29	19
594	75	84	94
595	13	32	22
596	53	62	72
597	76	95	86
598	74	83	94
599	40	49	59
600	7	16	27
601	95	104	5
602	45	54	65
603	8	27	17
604	27	36	47
605	51	71	61
606	9	18	28
607	6	14	25
608	19	38	28
609	59	78	68
610	97	7	108
611	97	6	107
612	84	104	94
613	21	40	30
614	38	57	47
615	66	75	85
616	102	18	8
617	95	114	105
618	15	24	35
619	9	18	28
620	53	73	63
621	97	7	108
622	90	99	109
623	66	74	85
624	51	70	60
625	99	9	110
626	85	94	105
627	69	78	88
628	33	42	52
629	70	79	89
630	42	61	51
631	46	55	65
632	103	8	17
633	102	17	8
634	10	29	19
635	101	16	6
636	74	93	83
637	95	114	104
638	35	54	44
639	30	39	49
640	98	7	108
641	86	95	105
642	74	93	83
643	89	98	108
644	79	88	98
645	77	96	86
646	57	66	76
647	22	31	42
648	30	39	49
649	79	100	88
650	59	80	68
651	65	74	84
652	81	100	90
653	30	39	49
654	33	42	52
655	35	43	54
656	96	105	115
657	47	66	57
658	72	91	81
659	102	17	8
660	16	25	36
661	94	113	103
662	56	76	66
663	57	76	66
664	41	50	60
665	33	52	42
666	60	79	69
667	37	46	56
668	36	45	55
669	54	63	73
670	55	74	64
671	45	54	64
672	76	85	95
673	31	50	40
674	51	60	70
675	78	87	97
676	99	108	8
677	26	45	35
678	103	8	17
679	7	27	17
680	63	72	82
681	98	107	8
682	37	46	56
683	25	46	34
684	29	38	52
685	59	78	68
686	77	96	86
687	104	19	10
688	101	16	7
689	103	8	18
690	27	46	36
691	105	10	19
692	33	42	53
693	9	28	18
694	94	113	103
695	91	100	110
696	36	45	56
697	77	86	97
698	12	31	21
699	62	71	81
700	90	98	109
701	101	16	6
702	36	44	55
703	15	36	24
704	85	94	104
705	102	17	8
706	80	89	99
707	21	30	40
708	99	108	9
709	98	107	8
710	33	42	53
711	8	17	27
712	105	20	11
713	8	27	17
714	37	46	56
715	73	82	93
716	68	87	77
717	64	73	83
718	46	55	65
719	103	9	18
720	71	90	81
721	57	76	66
722	71	90	80
723	23	43	32
724	102	7	16
725	80	89	99
726	96	105	6
727	93	102	112
728	50	59	69
729	43	51	62
730	101	16	7
731	11	30	20
732	23	42	32
733	100	6	15
734	24	43	33
735	75	84	94
736	68	87	78
737	6	15	25
738	80	89	99
739	18	27	37
740	88	107	97
741	77	96	86
742	9	18	28
743	72	81	91
744	90	98	109
745	45	64	54
746	78	97	87
747	21	41	31
748	5	14	24
749	77	86	96
750	85	104	94
751	24	33	46
752	20	39	29
753	77	86	96
754	32	41	51
755	17	26	36
756	92	101	112
757	69	78	89
758	68	77	87
759	59	77	68
760	32	41	51
761	72	81	91
762	101	6	16
763	26	35	45
764	87	107	97
765	9	29	19
766	60	68	79
767	95	115	105
768	44	53	63
769	9	18	28
770	6	25	15
771	40	49	60
772	37	46	60
773	90	98	109
774	52	61	72
775	69	88	78
776	30	50	40
777	30	49	39
778	33	42	52
779	69	78	88
780	40	59	49
781	87	106	96
782	80	99	89
783	81	100	90
784	34	55	45
785	43	63	53
786	77	86	97
787	7	16	27
788	68	87	77
789	63	82	72
790	50	69	59
791	51	60	70
792	40	59	49
793	4	13	24
794	90	109	99
795	88	97	107
796	25	44	34
797	90	110	100
798	88	107	97
799	59	78	68
800	81	103	90
801	55	74	64
802	14	33	23
803	43	62	52
804	92	101	112
805	16	25	35
806	8	27	17
807	40	49	59
808	44	63	54
809	59	68	79
810	98	107	8
811	89	98	108
812	48	57	69
813	7	16	26
814	38	60	48
815	99	8	109
816	90	110	100
817	10	29	19
818	98	8	109
819	55	76	64
820	7	16	26
821	56	65	76
822	81	90	100
823	80	100	90
824	26	35	45
825	67	76	86
826	101	6	15
827	8	27	17
828	31	50	40
829	50	69	59
830	32	41	51
831	61	80	70
832	87	96	106
833	16	25	36
834	90	109	99
835	70	79	90
836	67	86	76
837	81	100	90
838	92	112	102
839	63	82	72
840	45	54	64
841	29	38	48
842	85	94	104
843	98	107	8
844	81	100	90
845	93	113	103
846	15	34	24
847	81	100	90
848	52	71	61
849	46	65	55
850	96	5	107
851	16	35	25
852	61	81	71
853	65	74	85
854	81	90	100
855	69	78	88
856	29	38	48
857	82	91	101
858	54	63	77
859	5	25	15
860	49	58	68
861	81	90	101
862	16	35	25
863	11	30	21
864	41	50	61
865	85	94	105
866	99	14	5
867	40	59	49
868	98	107	8
869	96	6	107
870	34	42	53
871	104	10	19
872	18	27	37
873	15	34	24
874	17	26	36
875	21	30	40
876	69	78	88
877	73	93	83
878	16	35	25
879	84	93	103
880	104	9	19
881	38	47	58
882	100	15	6
883	32	51	41
884	89	108	98
885	100	15	6
886	15	24	34
887	12	21	32
888	49	68	58
889	85	104	94
890	66	85	75
891	83	103	93
892	14	23	33
893	105	20	11
894	61	70	80
895	88	97	108
896	61	70	80
897	56	65	75
898	85	106	94
899	57	76	66
900	100	15	6
901	77	96	86
902	97	106	7
903	90	110	100
904	70	89	79
905	91	100	110
906	73	92	82
907	102	17	7
908	93	102	112
909	39	48	58
910	67	86	76
911	58	77	67
912	22	31	41
913	93	102	112
914	61	70	80
915	72	91	81
916	26	45	36
917	32	51	41
918	10	29	19
919	95	104	5
920	92	111	101
921	42	61	51
922	51	60	70
923	93	112	102
924	96	105	6
925	63	72	82
926	43	62	52
927	26	45	35
928	50	69	59
929	36	45	55
930	102	10	20
931	31	40	50
932	12	32	22
933	65	85	75
934	33	52	42
935	21	30	41
936	27	36	46
937	11	20	30
938	78	87	98
939	59	79	69
940	99	9	110
941	38	57	47
942	97	106	7
943	49	58	68
944	66	75	89
945	45	64	54
946	72	91	81
947	9	28	18
948	101	17	7
949	62	81	71
950	70	79	89
951	82	101	91
952	65	73	84
953	32	51	42
954	79	98	88
955	91	100	110
956	22	41	31
957	8	17	28
958	23	42	32
959	104	9	18
960	23	32	42
961	79	98	89
962	83	92	102
963	59	78	69
964	89	109	99
965	103	19	9
966	12	21	31
967	34	43	53
968	75	95	85
969	41	60	50
970	9	18	29
971	15	34	24
972	94	113	103
973	26	45	35
974	88	107	97
975	77	86	96
976	74	93	83
977	13	32	22
978	88	97	107
979	76	95	85
980	14	33	23
981	68	77	92
982	61	80	70
983	90	109	99
984	95	114	104
985	57	66	76
986	97	6	107
987	73	82	92
988	57	66	76
989	34	43	53
990	85	94	104
991	36	55	45
992	84	103	93
993	57	76	66
994	40	49	59
995	10	29	19
996	19	28	39
997	92	111	101
998	40	50	62
999	22	41	31
